id,area,areacode,tm_nm,addr
1,서울,1,서울고속,서초구 반포동 19-4
2,서울,1,동서울,광진구 구의동 546-1
3,서울,1,상봉,중량구상봉동 83-1
4,경기,2,고양(화정),고양시 덕양구 화정동 974
5,경기,2,성남(분당),성남시 야탑동 341
6,경기,2,수원,수원시 권선구 권선동 1189
7,경기,2,안산,안산시 성포동 590
8,경기,2,안성,안성시 가사동 182
9,경기,2,여주,여주시 여주읍 홍문리 269-4
10,경기,2,여주종합,여주시 여주읍 홍문리 274-1
11,경기,2,의정부,의정부시 금오동 369-5
12,경기,2,용인,용인시 김량장동 23-1
13,경기,2,용인유방,용인시 처인구 유방동 310-12번지
14,경기,2,이천,이천시 중리동 219-1
15,경기,2,평택,평택시 평택동 55-5
16,경기,2,평택대,평택시 소사동 4-3
17,경기,2,광명,광명시 광명역로 51
18,경기,2,오산,경기 오산시 역광장로 59
19,경기,2,시흥시화,경기 시흥시 정왕동 1745-6
20,인천,3,인천,인천시 남구 관교동 15
21,강원,4,원주,원주시 단계동 878-1
22,강원,4,강릉,강릉시 홍제동 992-2
23,강원,4,속초,속초시 조양동 1418
24,강원,4,동해,동해시 부곡동 88
25,강원,4,삼척,삼척시 남양동 334-1
26,강원,4,춘천,춘천시 온의동 111-2
27,강원,4,양양,양양군 송암리 190-1
28,충남,5,공주,공주시 신관동 609
29,충남,5,금산,금산군 금산읍 상리 34-10
30,충남,5,논산,논산시 논산읍 취암동 599-3
31,충남,5,온양,아산시 모종동 557-3
32,충남,5,연무대,논산시 연무읍 안심8동 1125
33,충남,5,조치원,연기군 조치원읍 상리 96
34,충남,5,세종시,세종특별자치시 대평동 269-19
35,충남,5,천안,천안시 신부동 354-1
36,충남,5,예산,예산군 예산읍 산성리 647
37,충남,5,홍성,홍성군 홍성읍 고암리 1042
38,충남,5,보령,보령시 궁촌동 347
39,충남,5,당진,당진군 당진읍 수청리 979
40,충남,5,서산,서산시 동문동 309-3
41,충남,5,태안,태안군 태안읍 남문리 701
42,충남,5,대천욕장,보령시 신흑동 10단지 아-10
43,충남,5,안면도,태안군 안면읍 승언리 1243-3
44,충남,5,덕산스파,예산군 덕산면 사동리 361
45,충남,5,청양,청양군 청양읍 읍내리 208-4
46,대전,6,대전,대전시 동구 용전동 63-3
47,대전,6,대전청사,대전시 서구 둔산2동 908
48,대전,6,유성,대전시 유성구 장대동 281-23
49,충북,7,제천,제천시 의림동 25-24
50,충북,7,청주,청주시 흥덕구 가경동 1416
51,충북,7,충주,충주시 칠금동 849
52,충북,7,황간,영동군 황간면 마산리 42
53,전북,8,전주공용,전주시 덕진구 금암동 767-2
54,전북,8,고창,고창군 고창읍 읍내리 629
55,전북,8,군산,군산시 경암동 612-7
56,전북,8,김제,김제시 요촌동 47-28
57,전북,8,남원,남원시 도통동 495-1
58,전북,8,부안,부안군 부안읍 봉덕리 574-13
59,전북,8,순창,순창군 순창읍 순화리 114-9
60,전북,8,익산,익산시 평화동 247-1
61,전북,8,정읍,정읍시 연지동 312-12
62,전북,8,진안,진안군 진안읍 군상리 430-19
63,경북,9,구미,구미시 원평1동1073-1
64,경북,9,김천,김천시 성내동 38-1
65,경북,9,경주,경주시 노서동 243-5
66,경북,9,상주,상주시 무양동 291
67,경북,9,영주,영주시 대학로 352(가흥동)
68,경북,9,영천,영천시 금노동 584-3
69,경북,9,안동,안동시 송현동 713-6
70,경북,9,점촌,문경시 모전로 54
71,경북,9,포항(천일),포항시 남구 해도동 33-7
72,대구,10,대구금호,대구시 동구 신천4동 329-3
73,대구,10,대구동양,대구시 동구 신천4동 328-2
74,대구,10,대구중앙,대구시 동구 신천4동 327-1
75,대구,10,대구한진,대구시 동구 신천4동 328-1
76,대구,10,서대구,대구시 북구 노원3가 685
77,광주,11,광주,광주시 서구 광천동 49-1
78,전남,12,강진,강진군 강진읍 평동리 167-1
79,전남,12,고흥,고흥군 고흥읍 소문리 218-11
80,전남,12,광양,광양시 광양읍 인동리 413
81,전남,12,동광양,광양시 중동 1691
82,전남,12,나주,나주시 중앙동 95-2
83,전남,12,녹동,고흥군 도양읍 봉암리 1613-1
84,전남,12,담양,담양군 담양읍 지침리 132-17
85,전남,12,목포,목포시 상동 220
86,전남,12,문장,함평군 해보면 문장리 822-24
87,전남,12,무안,무안군 무안읍 성동리 873-11
88,전남,12,보성,보성군 보성읍 원봉리 5-1
89,전남,12,벌교,보성군 벌교읍 회정리 432
90,전남,12,순천,순천시 장천동 18-22
91,전남,12,여수,여수시 오림동 390
92,전남,12,여천,여수시 무선로 200
93,전남,12,영광,영광군 영광읍 신하리 10-1
94,전남,12,영산포,나주시 이창동 191
95,전남,12,영암,영암군 영암읍 남풍리 4-1
96,전남,12,완도,완도군 완도읍 군내리 1230
97,전남,12,장흥,장흥군 장흥읍 건산리 382
98,전남,12,진도,진도군 진도읍 남동리 782-1
99,전남,12,함평,함평군 함평읍 기각리 88-1
100,전남,12,해남,해남군 해남읍 해리 401
101,전남,12,삼호,영암군 삼호읍 삼호중앙로 246
102,경남,13,마산,마산시 양덕2동 154-1
103,경남,13,내서,마산시 내서읍 중리 895-1 농수산물 도매시장내
104,경남,13,진주,진주시 칠암동 489-2
105,경남,13,창원,창원시 팔용동 용원상업지구 35
106,경남,13,김해,김해시 외동 1264
107,경남,13,통영,통영시 광도면 죽림리 1569번지
108,울산,14,울산,울산시 남구 삼산동 1480-4
109,울산,14,울산신북,울산시 남구 무거동 327-21번지
110,부산,15,부산,부산시 금정구 노포동 133
111,부산,15,서부산(사상),부산시 사상구 괘법동 533번지
